long,points,PTS,pa,PA,ab,AB,singles,1B,doubles,2B,triples,3B,home_runs,HR,walks,BB,strikeouts,K,sb,SB,cs,CS,runs,R,rbi,RBI,hbp,HBP,outs,O
8717 -- odubel herrera -- PHI -- 2B/OF,1.53614,0.00000,1.00000,0.00000,0.95000,0.00000,0.15888,0.00000,0.06201,0.00000,0.01100,0.00000,0.00841,0.00000,0.02866,0.00000,0.25576,0.00000,0.03000,0.00000,0.01000,0.00000,0.09000,0.00000,0.10000,0.00000,0.00500,0.00000,0.46678,0.00000
6940 -- dusty coleman -- KC -- SS,1.52403,0.00000,1.00000,0.00000,0.91000,0.00000,0.12755,0.00000,0.04641,0.00000,0.00885,0.00000,0.01740,0.00000,0.05727,0.00000,0.30841,0.00000,0.03000,0.00000,0.01000,0.00000,0.10000,0.00000,0.10000,0.00000,0.01000,0.00000,0.34530,0.00000
5947 -- ivan de jesus jr. -- CIN -- 2B/SS,1.51606,0.00000,1.00000,0.00000,0.91000,0.00000,0.17574,0.00000,0.04036,0.00000,0.00950,0.00000,0.00921,0.00000,0.06448,0.00000,0.19446,0.00000,0.02000,0.00000,0.01000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.50414,0.00000
6017 -- justin smoak -- TOR -- 1B,1.50575,0.00000,1.00000,0.00000,0.87000,0.00000,0.11649,0.00000,0.03742,0.00000,0.00000,0.00000,0.03388,0.00000,0.11521,0.00000,0.21303,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00000,0.00000,0.44956,0.00000
6188 -- andrew romine -- DET -- 3B/SS,1.50422,0.00000,1.00000,0.00000,0.93000,0.00000,0.18726,0.00000,0.02743,0.00000,0.00000,0.00000,0.00860,0.00000,0.05465,0.00000,0.19945,0.00000,0.05000,0.00000,0.01000,0.00000,0.10000,0.00000,0.09000,0.00000,0.00000,0.00000,0.48024,0.00000
9920 -- wilmer difo -- WAS -- SS,1.50354,0.00000,1.00000,0.00000,0.93000,0.00000,0.14759,0.00000,0.04011,0.00000,0.00654,0.00000,0.01045,0.00000,0.05170,0.00000,0.15536,0.00000,0.05000,0.00000,0.02000,0.00000,0.09000,0.00000,0.10000,0.00000,0.00500,0.00000,0.52323,0.00000
6203 -- derek norris -- SD -- C,1.50313,0.00000,1.00000,0.00000,0.90000,0.00000,0.14054,0.00000,0.04207,0.00000,0.00000,0.00000,0.02748,0.00000,0.08320,0.00000,0.19597,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000,0.11000,0.00000,0.00500,0.00000,0.44842,0.00000
9889 -- oscar hernandez -- ARI -- C,1.50289,0.00000,1.00000,0.00000,0.90000,0.00000,0.13942,0.00000,0.03898,0.00000,0.00000,0.00000,0.02727,0.00000,0.05849,0.00000,0.19883,0.00000,0.01000,0.00000,0.01000,0.00000,0.11000,0.00000,0.11000,0.00000,0.01500,0.00000,0.50202,0.00000
6759 -- tommy pham -- STL -- OF,1.50208,0.00000,1.00000,0.00000,0.91000,0.00000,0.12620,0.00000,0.03723,0.00000,0.00867,0.00000,0.01800,0.00000,0.06899,0.00000,0.32928,0.00000,0.04000,0.00000,0.01000,0.00000,0.09000,0.00000,0.09000,0.00000,0.00500,0.00000,0.38892,0.00000
8532 -- deven marrero -- BOS -- SS,1.50012,0.00000,1.00000,0.00000,0.92000,0.00000,0.16213,0.00000,0.04634,0.00000,0.00000,0.00000,0.00744,0.00000,0.05880,0.00000,0.19857,0.00000,0.04000,0.00000,0.01000,0.00000,0.10000,0.00000,0.10000,0.00000,0.00500,0.00000,0.44893,0.00000
1338 -- stephen drew -- NYY -- 2B/SS,1.49838,0.00000,1.00000,0.00000,0.89000,0.00000,0.11145,0.00000,0.04646,0.00000,0.00875,0.00000,0.02549,0.00000,0.09342,0.00000,0.20425,0.00000,0.00000,0.00000,0.00000,0.00000,0.11000,0.00000,0.10000,0.00000,0.00000,0.00000,0.45159,0.00000
